"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2017","5,724.60","5,924.10","5,956.50","5,679.80","15.25B","-3.37%"
"04/01/2017","5,924.10","5,864.90","5,950.10","5,790.60","10.54B","1.01%"
"03/01/2017","5,864.90","5,712.20","5,901.50","5,675.00","15.41B","2.67%"
"02/01/2017","5,712.20","5,620.90","5,833.20","5,582.70","13.23B","1.62%"
"01/01/2017","5,620.90","5,667.40","5,827.50","5,604.30","10.58B","-0.79%"
"12/01/2016","5,665.80","5,440.50","5,699.10","5,383.80","12.49B","4.14%"
"11/01/2016","5,440.50","5,317.70","5,520.90","5,052.10","15.05B","2.31%"
"10/01/2016","5,317.70","5,435.90","5,498.00","5,261.40","12.20B","-2.17%"
"09/01/2016","5,435.90","5,433.00","5,473.30","5,192.20","13.84B","0.05%"
"08/01/2016","5,433.00","5,562.40","5,611.20","5,412.60","13.19B","-2.33%"
"07/01/2016","5,562.40","5,233.40","5,570.40","5,148.70","11.52B","6.29%"
"06/01/2016","5,233.40","5,378.60","5,392.50","5,051.00","13.81B","-2.70%"
"05/01/2016","5,378.60","5,252.20","5,427.70","5,182.20","13.76B","2.41%"
"04/01/2016","5,252.20","5,082.80","5,281.60","4,893.50","11.62B","3.33%"
"03/01/2016","5,082.80","4,880.90","5,216.20","4,868.10","14.68B","4.14%"
"02/01/2016","4,880.90","5,005.50","5,073.00","4,706.70","14.98B","-2.49%"
"01/01/2016","5,005.50","5,295.90","5,331.40","4,803.90","11.39B","-5.48%"
"12/01/2015","5,295.90","5,166.50","5,325.80","4,909.60","13.50B","2.50%"
"11/01/2015","5,166.50","5,239.40","5,313.70","4,979.20","13.83B","-1.39%"
"10/01/2015","5,239.40","5,021.70","5,384.80","5,021.70","12.94B","4.34%"
"09/01/2015","5,021.60","5,207.00","5,221.10","4,918.40","16.09B","-3.56%"
"08/01/2015","5,207.00","5,699.20","5,727.70","4,928.30","15.46B","-8.64%"
"07/01/2015","5,699.20","5,455.40","5,718.90","5,383.70","12.86B","4.40%"
"06/01/2015","5,459.00","5,777.20","5,777.20","5,390.50","14.04B","-5.51%"
"05/01/2015","5,777.20","5,790.00","5,901.80","5,574.60","13.17B","-0.22%"
"04/01/2015","5,790.00","5,891.50","5,996.40","5,749.90","11.18B","-1.72%"
"03/01/2015","5,891.50","5,928.80","5,996.90","5,748.70","15.21B","-0.63%"
"02/01/2015","5,928.80","5,588.30","5,955.50","5,588.30","14.49B","6.09%"
"01/01/2015","5,588.30","5,411.00","5,619.50","5,267.40","11.71B","3.28%"
"12/01/2014","5,411.00","5,313.00","5,486.70","5,142.80","13.20B","1.84%"
"11/01/2014","5,313.00","5,526.60","5,550.30","5,292.90","11.45B","-3.86%"
"10/01/2014","5,526.60","5,292.80","5,526.60","5,122.00","14.41B","4.42%"
"09/01/2014","5,292.80","5,625.90","5,672.70","5,253.10","13.02B","-5.92%"
"08/01/2014","5,625.90","5,632.90","5,679.50","5,425.20","12.63B","-0.12%"
"07/01/2014","5,632.90","5,395.70","5,644.20","5,370.90","12.09B","4.40%"
"06/01/2014","5,395.70","5,484.10","5,526.00","5,373.60","12.43B","-1.76%"
"05/01/2014","5,492.50","5,489.10","5,541.70","5,372.10","12.37B","0.06%"
"04/01/2014","5,489.10","5,394.80","5,554.50","5,350.50","10.54B","1.75%"
"03/01/2014","5,394.80","5,404.80","5,462.30","5,288.50","15.04B","-0.19%"
"02/01/2014","5,404.80","5,190.00","5,461.70","5,052.20","13.69B","4.14%"
"01/01/2014","5,190.00","5,352.20","5,383.40","5,158.90","10.81B","-3.03%"
"12/01/2013","5,352.20","5,320.00","5,367.40","5,028.20","12.43B","0.60%"
"11/01/2013","5,320.10","5,425.50","5,439.20","5,284.90","12.46B","-1.94%"
"10/01/2013","5,425.50","5,218.90","5,457.30","5,118.90","12.75B","3.96%"
"09/01/2013","5,218.90","5,135.00","5,314.30","5,115.10","13.75B","1.63%"
"08/01/2013","5,135.00","5,052.00","5,168.20","5,007.90","14.91B","1.64%"
"07/01/2013","5,052.00","4,802.60","5,098.50","4,702.70","14.33B","5.19%"
"06/01/2013","4,802.60","4,926.60","4,933.30","4,632.30","15.15B","-2.52%"
"05/01/2013","4,926.60","5,187.30","5,249.60","4,897.90","17.14B","-5.10%"
"04/01/2013","5,191.20","4,966.50","5,195.10","4,883.70","14.58B","4.52%"
"03/01/2013","4,966.50","5,104.10","5,163.50","4,927.90","15.31B","-2.70%"
"02/01/2013","5,104.10","4,878.80","5,112.50","4,869.50","15.11B","4.62%"
"01/01/2013","4,878.80","4,648.90","4,906.20","4,648.90","13.14B","4.94%"
