yearmonth,Cash_rates,GDP_level_b,quarterly_growth,ave_quarter_property_price_index_growth,Unemployment_rate,Index_value,inflation_rate
2021-08,0.1,NA,NA,NA,4.569,7534.9,NA
2021-09,0.1,522.2,-2,5,4.672,7332.2,3
2021-10,0.1,NA,NA,NA,5.25,7323.7,NA
2021-11,0.1,NA,NA,NA,4.607,7256,NA
2021-12,0.1,541.3,3.7,4.7,4.171,7444.6,3.5
2022-01,0.1,NA,NA,NA,4.157,6971.6,NA
2022-02,0.1,NA,NA,NA,4.005,7049.1,NA
2022-03,0.1,544.4,0.6,NA,3.919,7499.6,5.1
2022-04,0.1,NA,NA,NA,3.87,7435,NA
2022-05,0.35,NA,NA,NA,3.911,7211.2,NA
2022-06,0.85,549.3,0.9,NA,3.57,6568.1,6.1
2022-07,1.35,NA,NA,NA,3.458,6945.2,NA
2022-08,1.85,NA,NA,NA,3.513,6986.8,NA
2022-09,2.35,553,0.7,NA,3.571,6474.2,7.3
2022-10,2.6,NA,NA,NA,3.423,6863.5,NA
2022-11,2.85,NA,NA,NA,3.472,7284.2,NA
2022-12,3.1,555.7,0.5,NA,3.521,7038.7,7.8
2023-01,3.1,NA,NA,NA,3.67,7476.7,NA
2023-02,3.35,NA,NA,NA,3.547,7258.4,NA
2023-03,3.6,NA,NA,NA,3.523,7177.8,7
2023-04,3.6,NA,NA,NA,NA,7315.5,NA
